server_hostname,window,stride,ingressBytes_aggregate,inRxmitBytes_aggregate,inCongestionBytes_aggregate,connections_aggregate,ingressBytes_0,ingressBytes_1,ingressBytes_2,ingressBytes_3,ingressBytes_4,ingressBytes_5,ingressBytes_6,ingressBytes_7,ingressBytes_8,ingressBytes_9
60572,10,5,212092,0,0,1301,40627,36626,32961,37630,25682,10989,7738,4725,4574,10540
35607,10,5,1258076,0,0,59,5542,236460,134222,22159,26918,355385,337227,96705,12227,31231
78961,10,5,78886,0,0,313,201,379,1358,7095,18095,16940,3685,0,79,31054
85283,10,5,74410,0,0,0,0,0,50995,22803,0,244,109,0,0,259
115944,10,5,113010,0,0,346,7802,3139,4827,9512,9195,7382,17977,27934,18665,6577
193910,10,5,34508,0,0,155,3410,3240,3438,3783,3698,3326,3067,3466,3640,3440
193494,10,5,3454178,0,0,106,548042,426613,422506,271350,303665,337315,286419,258281,289185,310802
99239,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115439,10,5,171,0,0,0,0,0,0,0,0,145,26,0,0,0
159860,10,5,600778,0,0,380,12782,30388,50562,86481,118149,108282,84639,82876,23858,2761
165665,10,5,3438891,0,0,175,245730,351206,598913,611108,334669,247554,200975,189435,256541,402760
158373,10,5,210246,0,0,3,108,0,252,28445,97104,84099,0,0,88,150
85338,10,5,311,0,0,0,0,86,225,0,0,0,0,0,0,0
36937,10,5,80785,0,0,8,39186,0,5005,19546,16254,0,0,0,0,794
34775,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3430,10,5,228093,0,0,733,37170,25890,29951,30977,27158,13330,28683,11699,13252,9983
157751,10,5,3272913,0,0,167,434265,340116,417635,498827,434413,290981,327529,153377,167728,208042
69868,10,5,1441547,0,0,12,191593,0,0,0,273,167523,498428,389235,194495,0
195194,10,5,10803307,0,262899,101,1190293,1141338,1022481,1167247,1261547,1234549,1078496,847582,910758,949016
121867,10,5,42839,0,0,168,11517,10716,8569,4260,2470,1444,2286,1286,251,40
52355,10,5,358597,0,0,147,3914,20827,22708,7407,38874,38778,69517,103018,42745,10809
144965,10,5,742,0,0,53,0,0,150,309,225,58,0,0,0,0
179166,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27497,10,5,587348,0,0,53,86199,49114,89032,67744,28698,5690,2332,92844,129474,36221
84944,10,5,666672,0,0,15,34965,2219,2447,2594,166938,339811,44468,2152,24473,46605
190847,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26960,10,5,307440,0,0,1000,36882,27081,26142,30270,33236,37712,22470,24447,34108,35092
113880,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32175,10,5,2052503,0,0,25,210475,208649,191021,184989,183227,198129,224360,237285,233063,181305
108751,10,5,4652776,0,0,94,777542,682615,903561,755684,850569,482602,179438,13510,3725,3530
168422,10,5,72700,0,0,2,0,0,0,0,0,10349,36268,5790,20293,0
38477,10,5,116474,0,0,178,5115,3042,2795,6416,19888,56751,4762,6577,4971,6157
141363,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94865,10,5,6730099,0,1185416,22,514120,529867,417014,393659,397281,401424,413951,862761,1372775,1427247
167717,10,5,333,0,0,0,0,0,0,0,0,115,218,0,0,0
195621,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169035,10,5,353,0,0,0,0,0,0,0,0,235,118,0,0,0
188976,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9943,10,5,351,0,0,0,0,0,0,0,0,15,336,0,0,0
130925,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85368,10,5,1841057,0,0,70,152154,462856,237329,693273,79501,65450,64573,8002,40932,36987
52342,10,5,533,0,0,25,0,0,0,0,0,0,1,92,440,0
23034,10,5,3611745,0,0,114,236942,205910,310843,638211,273390,43862,156468,443698,627362,675059
131459,10,5,232664,0,0,704,6687,12190,9547,22917,34773,50428,46216,28257,8394,13255
84900,10,5,985268,0,0,360,0,273,152,0,0,185909,253782,84205,97549,363398
60576,10,5,6048,0,0,0,1762,1265,0,0,0,0,1712,1229,0,80
113978,10,5,3873,0,0,57,0,0,0,0,0,219,228,2090,1247,89
32580,10,5,130390,0,0,506,19883,11098,14491,14653,8813,12160,10347,14228,6253,18464
146301,10,5,1263875,0,0,1946,192012,135929,111420,94693,88637,155195,145355,117652,115338,107644
69898,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
196895,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54743,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32577,10,5,538694,0,0,1666,86488,43882,60552,83080,72379,47952,47386,42418,23586,30971
185602,10,5,264563,0,0,1908,26162,19800,19290,18027,24063,30215,32682,29190,33149,31985
94355,10,5,7026,0,0,18,389,0,11,325,2304,252,3518,0,0,227
145691,10,5,574162,0,0,3976,39977,49201,48800,48885,48891,49846,64344,81605,70358,72255
24181,10,5,389863,0,0,2165,11619,11702,60689,107924,61356,15079,31039,10672,49000,30783
45493,10,5,596705,0,0,63,87260,100751,54728,107498,38505,963,83748,83536,23841,15875
39854,10,5,272906,0,0,13,18212,252501,24,511,0,0,0,40,882,736
85950,10,5,215340,0,0,6,95,24561,2810,180,94,86,86,56661,118533,12234
85512,10,5,47648,742,0,57,2630,6452,3271,9025,6565,3797,4098,3064,3242,5504
185266,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21803,10,5,2709437,0,0,77,150475,82395,175981,94827,250256,389085,337476,301396,322083,605463
65798,10,5,191584,0,0,20,3966,3806,302,5655,10710,6686,6880,83460,69720,399
152607,10,5,260812,0,0,968,15179,32207,44196,25440,26522,13706,12739,11987,32061,46775
191119,10,5,397504,0,0,27,87,42413,147375,116654,1353,950,1296,179,609,86588
188993,10,5,55385,0,0,129,5023,4618,6015,8606,4541,2157,2753,3737,10497,7438
56176,10,5,2937303,0,540255,180,28632,22733,5570,558285,372734,797102,664678,413725,63975,9869
4129,10,5,1106746,0,84595,117,33930,106285,149596,206086,126393,46424,156409,187370,63569,30684
5191,10,5,5516,0,0,257,668,895,310,666,640,751,725,278,309,274
81066,10,5,1591192,0,0,365,143794,143258,137783,155412,171759,200460,143733,160898,188583,145512
175059,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197545,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52724,10,5,541297,0,0,108,6021,121504,249789,131006,4808,3337,5370,7764,6868,4830
180278,10,5,91497,0,0,1609,8902,9410,8573,6176,9970,10181,9480,7709,9396,11700
157555,10,5,1405923,0,0,28,138033,246385,298187,268733,139233,27259,0,197057,86001,5035
140282,10,5,9357633,0,3286309,511,369734,396308,439105,502002,585008,1111537,1518461,1444914,1504252,1486312
82067,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
196590,10,5,939395,0,0,5,382,19918,136320,319041,222747,206688,34299,0,0,0
87236,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56796,10,5,441392,0,0,25,28204,61562,80949,74706,56076,29195,22173,54638,33889,0
116297,10,5,14860675,0,6284453,524,1496980,1486908,1429054,1504849,1485052,1500808,1506347,1513896,1502652,1434129
124403,10,5,332,0,0,0,0,0,0,0,106,226,0,0,0,0
9627,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148051,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45479,10,5,1009098,0,0,6,55752,209133,322386,236744,56,29,56,0,71,184871
10227,10,5,161832,0,0,547,17900,11078,10789,18858,12630,21809,10777,13595,20830,23566
7195,10,5,1494568,0,0,2703,128918,148325,131498,151966,146244,148264,142504,223403,146838,126608
167574,10,5,100876,0,0,196,24202,24215,5786,244,77,12162,5264,1401,20840,6685
127404,10,5,3428904,0,497419,66,90022,151990,202947,171044,52802,26131,373796,928971,918512,512689
108197,10,5,3569735,0,0,37,492776,388181,581522,728802,430621,24666,162037,113245,184235,463650
87616,10,5,3066052,0,236352,199,39851,53130,30348,118927,70810,702840,613972,193574,636654,605946
19701,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4714,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87376,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135601,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114677,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14412,10,5,1525006,0,0,253,230246,77811,93486,209357,82733,60092,198871,138061,328669,105680
84809,10,5,578202,0,0,10,305965,160580,60948,40635,9146,503,239,49,114,23
118537,10,5,317,0,0,0,174,143,0,0,0,0,0,0,0,0
70280,10,5,287734,0,0,571,23974,28675,30291,26702,32713,27640,22252,30941,34998,29548
101701,10,5,168042,0,0,1300,5925,7137,7049,7287,41091,52727,22241,7702,8170,8713
191124,10,5,173309,0,0,340,18047,17082,17121,17364,17327,17878,17612,17489,16121,17268
183644,10,5,1632840,0,0,296,186039,98414,79183,139125,159862,186624,207175,215161,191180,170077
73633,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
198213,10,5,4190,0,0,0,0,0,0,0,871,3319,0,0,0,0
38490,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65759,10,5,4986,0,0,37,215,556,452,452,509,620,512,627,487,556
65788,10,5,2907523,0,0,243,510869,145683,8869,46792,306539,644704,746811,441808,55448,0
75012,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106775,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27447,10,5,1835,0,0,33,742,47,202,203,0,0,0,156,407,78
102517,10,5,213399,0,0,63,6256,21700,26836,14509,16689,28939,11586,31127,20599,35158
129142,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160157,10,5,1621206,0,0,2041,144614,191780,207433,181283,168745,144115,164694,153268,141083,124191
206850,10,5,556043,0,0,840,89947,52838,90704,95276,7737,34953,55640,39462,25282,64204
79772,10,5,52695,0,0,1071,5913,6154,6523,5732,5043,4311,4055,4064,3726,7174
196402,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9902,10,5,20634,0,0,59,1473,3057,2088,1315,3706,2772,1082,2203,1197,1741
110472,10,5,14984903,0,6789735,346,1480066,1501805,1480164,1512111,1536120,1470089,1514448,1498840,1478295,1512965
78930,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
187377,10,5,275,0,0,1,0,0,0,169,97,9,0,0,0,0
18054,10,5,5096939,0,0,11,1391082,1453641,1393196,406890,25,0,355,90938,263875,96937
26955,10,5,10313,0,0,5,139,86,53,0,32,118,3223,5744,918,0
86092,10,5,97943,0,0,629,8044,9413,4332,7141,8691,8595,7039,6230,15442,23016
130499,10,5,1347,0,0,320,84,0,0,0,0,197,427,119,197,323
165602,10,5,226264,0,0,7,63706,4441,454,978,599,50054,48283,0,0,57749
141102,10,5,344955,0,0,14,7907,63726,154059,87961,0,25,3157,17228,10598,294
37430,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36005,10,5,237867,0,0,300,38508,23018,34384,28997,23067,8851,12696,15194,31794,21358
158899,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67418,10,5,474379,0,0,1083,47875,41054,43928,40420,46075,46082,51354,46136,53029,58426
174673,10,5,4968218,0,0,189,444037,480031,424843,742878,628406,497702,645039,519923,289680,295679
124818,10,5,2757681,0,0,330,17,431089,538419,588345,474695,50744,333,38,141052,532949
175639,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92002,10,5,903,0,0,3,0,0,0,0,0,0,0,719,184,0
114572,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140826,10,5,624,0,0,0,33,0,527,64,0,0,0,0,0,0
12122,10,5,65002,0,0,114,14067,9915,4657,3563,946,2113,5662,4865,7676,11538
31240,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
189034,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
193355,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86036,10,5,48451,0,0,359,4618,5094,4886,3893,5379,4919,5504,3847,5498,4813
43351,10,5,316513,0,0,1492,64473,27120,19858,15905,18984,13560,28910,47228,44980,35495
181366,10,5,377,0,0,0,0,0,0,58,319,0,0,0,0,0
185270,10,5,0,0,0,10,0,0,0,0,0,0,0,0,0,0
112596,10,5,177455,0,0,33,171860,971,0,0,0,0,0,10,422,4192
100366,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45581,10,5,568326,0,0,29,182205,34320,69321,72867,41,3888,40219,112511,32307,20647
47342,10,5,1481,0,0,1,0,0,317,1047,117,0,0,0,0,0
9795,10,5,63445,0,0,245,7279,7279,5509,8195,10608,11411,4608,2671,3134,2751
130734,10,5,266,0,0,8,0,120,50,0,0,0,0,0,68,28
167585,10,5,457624,0,0,1009,70426,74177,52911,39426,30873,42099,40214,28150,40472,38876
27047,10,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0
59141,10,5,151118,0,0,611,26814,29914,8101,10367,4895,12294,11862,13072,20516,13283
17445,10,5,237638,0,0,398,19568,21246,35885,47502,9965,15537,16382,29323,22900,19330
118473,10,5,130068,0,0,281,15438,11983,9850,9171,6895,9691,22960,17506,10036,16538
116915,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108913,10,5,13435,0,0,3,1044,3139,1991,0,27,58,27,58,1983,5108
76680,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
193923,10,5,22298,0,0,1,0,0,0,0,0,0,0,15460,6812,26
92362,10,5,156228,0,0,531,22063,15074,17207,18547,14060,10371,11132,19838,15666,12270
195398,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169245,10,5,623081,0,0,3088,63846,58474,58856,63777,65456,63865,64742,64257,64641,55167
131211,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205700,10,5,40748,241,0,152,9281,7743,4620,3016,2137,2629,3497,3166,2743,1916
47556,10,5,555215,0,0,37,79220,171882,46476,12890,60306,592,4745,10426,67675,101003
193750,10,5,507048,0,0,439,44589,19093,54479,70058,67861,47654,26932,62126,63438,50818
47370,10,5,773,0,0,3,0,148,23,0,0,0,0,0,374,228
78928,10,5,78393,0,0,551,7434,7345,5560,5672,6554,8736,8666,8279,9246,10901
181293,10,5,352,0,0,0,70,282,0,0,0,0,0,0,0,0
66924,10,5,650360,0,0,174,112922,79264,114300,60321,50398,20965,51445,120440,36607,3698
115976,10,5,823779,0,0,104,117659,114130,104484,86099,99359,52062,33172,8003,160598,48213
59224,10,5,13127,0,0,8,42,677,651,0,42,5714,5873,43,42,43
174629,10,5,45881,0,0,363,4304,4209,4489,5123,6559,3859,5515,3054,4372,4397
165726,10,5,327,0,0,0,327,0,0,0,0,0,0,0,0,0
45353,10,5,445736,0,0,11,0,29022,74846,27768,59,500,74527,174367,63881,766
100796,10,5,392925,0,0,1545,10841,9719,20196,45801,48808,45633,59533,50009,54226,48159
195965,10,5,254279,0,0,389,38489,40965,15532,32904,12253,21705,19281,15787,36870,20493
60170,10,5,7367,0,0,31,2,0,4022,549,8,0,824,15,0,1947
53061,10,5,18019,0,0,96,1239,2647,1163,2920,1213,1441,2374,544,3045,1433
199551,10,5,171,0,0,0,0,0,0,104,67,0,0,0,0,0
156296,10,5,14869951,0,5341188,574,1497467,1468557,1430142,1516193,1576940,1488983,1515573,1458415,1453047,1464634
5611,10,5,431152,0,0,1961,9592,18790,21577,20062,18543,24703,57030,86490,88758,85607
119141,10,5,2674,0,0,692,12,466,120,4,257,271,312,449,328,455
4259,10,5,121070,0,0,224,12963,5565,10687,3546,8359,4657,12612,48204,4506,9971
135787,10,5,10317458,0,5375955,1099,1472468,1511964,1481849,1463117,1474671,1055227,887957,578019,195309,196877
195408,10,5,353,0,0,0,0,0,0,0,0,0,0,0,64,289
188683,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204965,10,5,3902,0,0,14,0,70,153,0,0,0,0,0,1155,2524
125852,10,5,6561,0,0,44,828,699,622,811,1003,959,478,382,560,219
143090,10,5,59882,0,0,8,212,23,0,0,3468,23907,5520,323,967,25462
129623,10,5,529,0,0,5,16,69,33,138,0,53,220,0,0,0
22772,10,5,541848,0,0,7,4068,3925,475,1159,1868,110,77135,250033,203075,0
170685,10,5,1384003,0,0,2139,142803,110735,126154,123137,121904,148386,137931,146381,181431,145141
90368,10,5,676920,0,0,585,98936,70471,66911,83417,56122,52307,91066,68759,44251,44680
31036,10,5,494367,0,0,488,43559,29816,53392,54285,34251,53844,64252,55482,48139,57347
58352,10,5,4808,0,0,232,0,0,0,1212,2202,0,0,0,0,1394
136893,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115781,10,5,1191,0,0,1,0,0,435,596,160,0,0,0,0,0
3063,10,5,1624978,0,0,16,777,400772,485602,139574,267,200913,97107,205211,94550,205
4466,10,5,42884,0,0,260,1262,9688,14629,4334,2955,2316,2067,1869,1795,1969
194907,10,5,1151891,594,0,124,31754,141149,323516,335772,12738,36270,35904,125515,45220,64053
62911,10,5,815149,0,0,3105,75992,81459,85526,86742,88590,77468,77656,78044,80027,83645
11457,10,5,75059,0,0,0,75059,0,0,0,0,0,0,0,0,0
98593,10,5,461044,0,0,39,233199,163290,14083,515,29831,18887,525,0,0,714
1717,10,5,1352711,0,0,2006,119551,94349,134648,114851,133574,224076,160593,134594,110040,126435
77227,10,5,1044537,0,0,237,23628,86418,190001,140532,33538,86913,188280,112817,104049,78361
20145,10,5,442078,0,0,65,25316,4825,162737,54804,2892,125951,43846,3215,11097,7395
158559,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16267,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91714,10,5,220413,0,0,78,21865,20380,14510,25905,17291,25902,36138,26556,14677,17189
67530,10,5,108493,0,0,12,8927,8632,428,34922,53921,386,701,191,153,232
52746,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49501,10,5,1454381,0,0,1175,138186,143630,153694,148071,184446,163714,124381,120550,114665,163044
22520,10,5,126251,0,0,2058,13881,11128,11027,11945,11012,14112,13065,15679,12325,12077
99910,10,5,98163,0,0,235,4131,9282,10370,4070,5497,4034,4161,27791,20353,8474
92631,10,5,10,0,0,0,10,0,0,0,0,0,0,0,0,0
196376,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4620,10,5,117309,0,0,164,13743,24634,56594,3004,3554,1017,546,1494,3361,9362
160471,10,5,452687,0,0,34,21226,23,6418,39831,23408,154105,52803,121822,26927,6124
13615,10,5,25772,0,0,6,5801,0,0,0,3181,5963,2409,5417,1915,1086
86096,10,5,1209958,0,1168798,322,1010853,198297,320,0,8,103,243,0,8,126
197135,10,5,14077,0,0,46,1862,2642,2641,1761,1263,350,575,626,608,1749
166867,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114966,10,5,430165,0,0,111,4231,3983,5430,7784,10134,2874,3512,3598,121456,267163
66891,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119299,10,5,136,0,0,1,0,0,0,0,0,0,0,73,63,0
2490,10,5,380,0,0,1588,111,101,21,111,36,0,0,0,0,0
33261,10,5,129,0,0,13,0,0,0,0,0,0,0,0,0,129
123649,10,5,123467,0,0,18,602,94416,23258,699,882,846,646,532,962,624
92729,10,5,12179,0,0,77,921,3022,784,16,232,55,3286,786,69,3008
108256,10,5,614210,0,0,94,9690,13169,10565,7117,7858,29318,190925,257531,77064,10973
146218,10,5,924958,0,0,11,76410,158605,454,223514,462575,574,1374,1029,229,194
35313,10,5,1025700,0,0,9,778,30020,397705,465144,131394,292,311,0,0,56
138675,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
198630,10,5,245,0,0,1,0,0,0,0,0,0,72,148,25,0
121271,10,5,52892,0,0,9,5868,5867,5866,5851,5542,310,6187,11281,401,5719
175952,10,5,827645,0,0,99,107621,135533,90353,25351,80590,167262,102813,63289,50415,4418
117906,10,5,62,0,0,0,62,0,0,0,0,0,0,0,0,0
58056,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51037,10,5,84577,0,0,307,6834,10620,8565,6735,8025,7776,10663,8708,6828,9823
185622,10,5,7742,0,0,0,0,0,0,0,0,0,7348,394,0,0
44343,10,5,11301,0,0,0,1791,156,194,1481,2888,0,0,0,0,4791
7386,10,5,100738,0,0,200,6756,19810,20660,22309,10125,2936,5124,8127,3245,1646
74311,10,5,73226,0,0,2,5985,176,77,8,77,6871,59844,17,154,17
133735,10,5,3631183,0,0,34,352673,902406,533869,64213,21412,223107,330803,240849,264485,697366
186559,10,5,12326662,0,920957,80,1164944,1081000,1108913,1192060,1269953,1414319,1184503,1255059,1325490,1330421
171190,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41025,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54811,10,5,171252,0,0,34,47068,35775,32036,18464,11111,13003,7373,6422,0,0
194491,10,5,7968693,0,1248814,108,1072663,924670,481585,108786,226674,673617,904098,1162114,1442832,971654
187371,10,5,8043,0,0,23,1207,617,2341,2448,696,29,338,178,0,189
115876,10,5,136735,0,0,603,8903,8524,9648,6210,3886,10308,20305,27812,16311,24828
111640,10,5,5623581,0,0,24,471911,503703,475805,628643,598590,635954,580415,587807,595735,545018
61728,10,5,827912,0,70144,192,304,468,3139,56089,481614,273335,3843,2905,2323,3892
9538,10,5,78248,0,0,137,7275,5617,6214,9296,9337,7993,6321,6832,10587,8776
138778,10,5,3906012,0,0,34,268354,433685,301157,293145,253490,181678,268871,518376,665988,721268
63360,10,5,142498,0,0,443,17059,12454,15415,12952,17485,13021,12269,15496,11503,14844
195871,10,5,8825933,0,0,49,1219812,1296388,1210936,1238202,933833,681598,529285,510608,543267,662004
122851,10,5,1854406,0,0,108,187865,211837,370338,58412,159669,95229,162997,179394,338241,90424
150792,10,5,7442510,0,776375,379,363511,326825,257615,246781,326692,642783,1153119,1442194,1440215,1242775
3527,10,5,43855,0,0,1,0,66,19,0,0,0,0,0,34010,9760
123982,10,5,3219580,0,0,75,781826,1160095,432529,125366,33342,12585,21433,16565,248071,387768
87899,10,5,4056787,0,0,611,363443,377449,459681,419021,380583,432413,438835,465934,381066,338362
5973,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89877,10,5,12487,0,0,11,596,300,1716,2287,755,0,4004,2466,32,331
43767,10,5,372792,0,0,1083,33023,37043,33916,49213,39702,31763,41417,41580,34916,30219
179489,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
194787,10,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0
78670,10,5,25762,0,0,108,3766,2722,646,1944,3227,978,506,1871,5010,5092
3701,10,5,47753,0,0,79,4719,5261,6063,6111,5768,4181,4157,2308,3940,5245
95923,10,5,511478,0,0,960,42846,51108,56692,60460,47508,48540,38611,56641,64301,44771
121706,10,5,3109065,0,0,265,484940,686208,744374,704569,259015,28231,65940,48391,17430,69967
187025,10,5,2873318,0,0,98,150669,87457,57081,425137,498799,96064,355907,776274,223986,201944
78591,10,5,204637,0,0,328,18652,24654,20839,19667,21026,24962,19472,17117,18585,19663
85717,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50469,10,5,254041,0,0,741,3015,2286,1828,2039,2608,27677,48122,65939,72936,27591
160367,10,5,149029,0,0,5,646,440,153,0,20,132,210,32609,102210,12609
63850,10,5,1831,0,0,6,86,925,714,106,0,0,0,0,0,0
134184,10,5,1623285,0,0,2454,142585,154571,202362,169360,149515,147363,136666,152991,206793,161079
67898,10,5,29754,0,0,139,3606,1106,3635,5017,11652,545,305,523,534,2831
62206,10,5,92217,0,0,55,10261,5006,7701,6737,3162,7027,8120,10709,11891,21603
23006,10,5,46288,0,0,150,1706,396,4183,9592,4864,4873,4628,3451,8322,4273
75300,10,5,8485445,0,646866,22,989212,1215377,1224367,1101029,1112165,894718,468231,534827,548055,397464
56767,10,5,1077090,0,0,35,3483,732,10436,26679,46929,257617,432003,277706,14535,6970
124584,10,5,20701,0,0,12,3291,3115,2329,2663,1699,650,1028,2638,1986,1302
159954,10,5,1392931,0,0,2177,128608,131911,193649,138913,125023,118662,159886,152327,133533,110419
95203,10,5,194506,0,0,42,0,176,19,171532,19483,0,0,0,2960,336
198690,10,5,1078179,0,0,14,578,97158,434912,258887,93871,190257,0,447,1780,289
3298,10,5,475122,0,0,2,18846,2907,4490,0,0,236,602,365,134424,313252
114830,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52387,10,5,23909,1261,0,12,0,2286,2213,1378,2784,3545,3147,2554,2571,3431
134872,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54478,10,5,421994,0,0,139,8391,4456,5341,4199,3517,16976,101939,193650,59094,24431
48453,10,5,2051593,0,0,86,167048,259172,172569,156286,583521,279116,279053,123965,6188,24675
89770,10,5,34262,0,0,158,2131,2890,3428,6203,4137,2354,3113,1967,1678,6361
127350,10,5,9738,0,0,8,5377,3051,54,264,523,140,54,0,100,175
120523,10,5,2314988,0,28645,34,628594,302269,135080,32446,51679,521227,266696,86076,240171,50750
100293,10,5,1242420,0,0,4549,123959,111100,125549,125750,127600,113366,118580,125596,140248,130672
34253,10,5,849641,0,0,3373,82334,88766,88903,91558,89993,81877,85050,87668,79565,73927
3293,10,5,825811,0,0,2979,98610,91581,86896,82870,66736,77363,91361,77032,77356,76006
118788,10,5,184752,0,0,142,7043,11936,10694,17847,21790,24571,22436,11314,22423,34698
